Segment;Country; Product ; Discount Band ;Units Sold; Manufacturing Price ; Sale Price ; Gross Sales ; Discounts ; Sales ; COGS ; Profit ;Date;Month Number; Month Name ;Year
Public Sector;France;Mountain; Medium ;2146;$ 350,00;$ 507,50;$ 1.089.095,00;$ 217.819,00;$ 871.276,00;$ 788.655,00;$ 82.621,00;5/8/2017;8; August ;2017
Public Sector;Germany;Mountain; Medium ;2130;$ 350,00;$ 507,50;$ 1.080.975,00;$ 216.195,00;$ 864.780,00;$ 782.775,00;$ 82.005,00;7/6/2017;6; June ;2017
Small Business;Germany;Mountain; Medium ;2127;$ 350,00;$ 507,50;$ 1.079.452,50;$ 215.890,50;$ 863.562,00;$ 781.672,50;$ 81.889,50;5/2/2017;2; February ;2017
Individual;Germany;Mountain; High ;2054;$ 350,00;$ 507,50;$ 1.042.405,00;$ 260.601,25;$ 781.803,75;$ 754.845,00;$ 26.958,75;9/6/2017;6; June ;2017
Small Business;Germany;Mountain; High ;2033;$ 350,00;$ 507,50;$ 1.031.747,50;$ 257.936,88;$ 773.810,63;$ 747.127,50;$ 26.683,13;9/8/2017;8; August ;2017
Corporate;France;Mountain; High ;2023;$ 350,00;$ 507,50;$ 1.026.672,50;$ 256.668,13;$ 770.004,38;$ 743.452,50;$ 26.551,88;5/11/2017;11; November ;2017
Public Sector;France;Mountain; Medium ;1990;$ 350,00;$ 507,50;$ 1.009.925,00;$ 201.985,00;$ 807.940,00;$ 731.325,00;$ 76.615,00;5/5/2017;5; May ;2017
Retail Partner;Germany;Mountain; Low ;1983;$ 350,00;$ 507,50;$ 1.006.372,50;$ 100.637,25;$ 905.735,25;$ 728.752,50;$ 176.982,75;5/1/2017;1; January ;2017
Small Business;France;Mountain; Medium ;1949;$ 350,00;$ 507,50;$ 989.117,50;$ 197.823,50;$ 791.294,00;$ 716.257,50;$ 75.036,50;5/12/2017;12; December ;2017
Corporate;Germany;Mountain; High ;1910;$ 350,00;$ 507,50;$ 969.325,00;$ 242.331,25;$ 726.993,75;$ 701.925,00;$ 25.068,75;2/7/2017;7; July ;2017
Public Sector;Germany;Mountain; Medium ;1870;$ 350,00;$ 507,50;$ 949.025,00;$ 189.805,00;$ 759.220,00;$ 687.225,00;$ 71.995,00;5/6/2017;6; June ;2017
Public Sector;Germany;Mountain; Medium ;1838;$ 350,00;$ 507,50;$ 932.785,00;$ 186.557,00;$ 746.228,00;$ 675.465,00;$ 70.763,00;5/11/2017;11; November ;2017
Small Business;Germany;Mountain; High ;1835;$ 350,00;$ 507,50;$ 931.262,50;$ 232.815,63;$ 698.446,88;$ 674.362,50;$ 24.084,38;5/5/2017;5; May ;2017
Retail Partner;France;Mountain; Medium ;1787;$ 350,00;$ 507,50;$ 906.902,50;$ 181.380,50;$ 725.522,00;$ 656.722,50;$ 68.799,50;5/9/2017;9; September ;2017
Retail Partner;Germany;Mountain; Medium ;1772;$ 350,00;$ 507,50;$ 899.290,00;$ 179.858,00;$ 719.432,00;$ 651.210,00;$ 68.222,00;5/9/2017;9; September ;2017
Individual;France;Mountain; None ;1742;$ 350,00;$ 507,50;$ 884.065,00;    ;$ 884.065,00;$ 640.185,00;$ 243.880,00;5/6/2017;6; June ;2017
Public Sector;France;Mountain; Low ;1742;$ 350,00;$ 507,50;$ 884.065,00;$ 88.406,50;$ 795.658,50;$ 640.185,00;$ 155.473,50;2/7/2017;7; July ;2017
Individual;France;Mountain; High ;1734;$ 350,00;$ 507,50;$ 880.005,00;$ 220.001,25;$ 660.003,75;$ 637.245,00;$ 22.758,75;5/5/2017;5; May ;2017
Small Business;France;Mountain; None ;1721;$ 350,00;$ 507,50;$ 873.407,50;    ;$ 873.407,50;$ 632.467,50;$ 240.940,00;5/9/2017;9; September ;2017
Small Business;France;Mountain; Medium ;1707;$ 350,00;$ 507,50;$ 866.302,50;$ 173.260,50;$ 693.042,00;$ 627.322,50;$ 65.719,50;5/9/2017;9; September ;2017
Retail Partner;France;Mountain; High ;1687;$ 350,00;$ 507,50;$ 856.152,50;$ 214.038,13;$ 642.114,38;$ 619.972,50;$ 22.141,88;9/5/2017;5; May ;2017
Small Business;Germany;Mountain; None ;1601;$ 350,00;$ 507,50;$ 812.507,50;    ;$ 812.507,50;$ 588.367,50;$ 224.140,00;2/2/2017;2; February ;2017
Retail Partner;Germany;Mountain; Medium ;1565;$ 350,00;$ 507,50;$ 794.237,50;$ 158.847,50;$ 635.390,00;$ 575.137,50;$ 60.252,50;5/1/2017;1; January ;2017
Individual;Germany;Mountain; Low ;1556;$ 350,00;$ 507,50;$ 789.670,00;$ 78.967,00;$ 710.703,00;$ 571.830,00;$ 138.873,00;5/10/2017;10; October ;2017
Public Sector;Norway;Mountain; Low ;1552;$ 350,00;$ 507,50;$ 787.640,00;$ 78.764,00;$ 708.876,00;$ 570.360,00;$ 138.516,00;5/12/2017;12; December ;2017
Retail Partner;Norway;Mountain; Low ;1533;$ 350,00;$ 507,50;$ 777.997,50;$ 77.799,75;$ 700.197,75;$ 563.377,50;$ 136.820,25;5/4/2017;4; April ;2017
Small Business;Sweden;Mountain; Low ;1499;$ 350,00;$ 507,50;$ 760.742,50;$ 76.074,25;$ 684.668,25;$ 550.882,50;$ 133.785,75;5/8/2017;8; August ;2017
Public Sector;Germany;Mountain; High ;1496;$ 350,00;$ 507,50;$ 759.220,00;$ 189.805,00;$ 569.415,00;$ 549.780,00;$ 19.635,00;5/12/2017;12; December ;2017
Small Business;Finland;Mountain; Medium ;1494;$ 350,00;$ 507,50;$ 758.205,00;$ 151.641,00;$ 606.564,00;$ 549.045,00;$ 57.519,00;5/9/2017;9; September ;2017
Public Sector;Sweden;Mountain; None ;1454;$ 350,00;$ 507,50;$ 737.905,00;    ;$ 737.905,00;$ 534.345,00;$ 203.560,00;5/8/2017;8; August ;2017
Retail Partner;Finland;Mountain; High ;1445;$ 350,00;$ 507,50;$ 733.337,50;$ 183.334,38;$ 550.003,13;$ 531.037,50;$ 18.965,63;5/5/2017;5; May ;2017
Corporate;France;Mountain; Low ;1395;$ 350,00;$ 507,50;$ 707.962,50;$ 70.796,25;$ 637.166,25;$ 512.662,50;$ 124.503,75;5/11/2017;11; November ;2017
Retail Partner;France;Mountain; Medium ;1391;$ 350,00;$ 507,50;$ 705.932,50;$ 141.186,50;$ 564.746,00;$ 511.192,50;$ 53.553,50;5/4/2017;4; April ;2017
Retail Partner;France;Mountain; High ;1387;$ 350,00;$ 507,50;$ 703.902,50;$ 175.975,63;$ 527.926,88;$ 509.722,50;$ 18.204,38;9/1/2017;1; January ;2017
Public Sector;Norway;Mountain; Low ;1314;$ 350,00;$ 507,50;$ 666.855,00;$ 66.685,50;$ 600.169,50;$ 482.895,00;$ 117.274,50;5/8/2017;8; August ;2017
Public Sector;Sweden;Mountain; Medium ;1266;$ 350,00;$ 507,50;$ 642.495,00;$ 128.499,00;$ 513.996,00;$ 465.255,00;$ 48.741,00;5/12/2017;12; December ;2017
Corporate;Sweden;Mountain; High ;1266;$ 350,00;$ 507,50;$ 642.495,00;$ 160.623,75;$ 481.871,25;$ 465.255,00;$ 16.616,25;9/6/2017;6; June ;2017
Public Sector;Finland;Mountain; High ;1263;$ 350,00;$ 507,50;$ 640.972,50;$ 160.243,13;$ 480.729,38;$ 464.152,50;$ 16.576,88;5/3/2017;3; March ;2017
Corporate;Germany;Mountain; Low ;1256;$ 350,00;$ 507,50;$ 637.420,00;$ 63.742,00;$ 573.678,00;$ 461.580,00;$ 112.098,00;5/6/2017;6; June ;2017
Individual;Sweden;Mountain; High ;1252;$ 350,00;$ 507,50;$ 635.390,00;$ 158.847,50;$ 476.542,50;$ 460.110,00;$ 16.432,50;9/10/2017;10; October ;2017
Public Sector;Germany;Mountain; High ;1225;$ 350,00;$ 507,50;$ 621.687,50;$ 155.421,88;$ 466.265,63;$ 450.187,50;$ 16.078,13;9/12/2017;12; December ;2017
Public Sector;France;Mountain; None ;1222;$ 350,00;$ 507,50;$ 620.165,00;    ;$ 620.165,00;$ 449.085,00;$ 171.080,00;5/9/2017;9; September ;2017
Individual;Norway;Mountain; Low ;1211;$ 350,00;$ 507,50;$ 614.582,50;$ 61.458,25;$ 553.124,25;$ 445.042,50;$ 108.081,75;5/10/2017;10; October ;2017
Public Sector;Norway;Mountain; Medium ;1198;$ 350,00;$ 507,50;$ 607.985,00;$ 121.597,00;$ 486.388,00;$ 440.265,00;$ 46.123,00;5/6/2017;6; June ;2017
Small Business;Sweden;Mountain; High ;1197;$ 350,00;$ 507,50;$ 607.477,50;$ 151.869,38;$ 455.608,13;$ 439.897,50;$ 15.710,63;9/10/2017;10; October ;2017
Public Sector;France;Mountain; High ;1193;$ 350,00;$ 507,50;$ 605.447,50;$ 151.361,88;$ 454.085,63;$ 438.427,50;$ 15.658,13;9/3/2017;3; March ;2017
Public Sector;Norway;Mountain; Low ;1118;$ 350,00;$ 507,50;$ 567.385,00;$ 56.738,50;$ 510.646,50;$ 410.865,00;$ 99.781,50;5/10/2017;10; October ;2017
Public Sector;Sweden;Mountain; Medium ;1111;$ 350,00;$ 507,50;$ 563.832,50;$ 112.766,50;$ 451.066,00;$ 408.292,50;$ 42.773,50;7/6/2017;6; June ;2017
Public Sector;Finland;Mountain; Medium ;1081;$ 350,00;$ 507,50;$ 548.607,50;$ 109.721,50;$ 438.886,00;$ 397.267,50;$ 41.618,50;5/4/2017;4; April ;2017
Public Sector;Sweden;Mountain; Low ;1061;$ 350,00;$ 507,50;$ 538.457,50;$ 53.845,75;$ 484.611,75;$ 389.917,50;$ 94.694,25;5/3/2017;3; March ;2017
Public Sector;France;Mountain; High ;1025;$ 350,00;$ 507,50;$ 520.187,50;$ 130.046,88;$ 390.140,63;$ 376.687,50;$ 13.453,13;9/12/2017;12; December ;2017
Public Sector;Finland;Mountain; Medium ;1012;$ 350,00;$ 507,50;$ 513.590,00;$ 102.718,00;$ 410.872,00;$ 371.910,00;$ 38.962,00;5/11/2017;11; November ;2017
Public Sector;Norway;Mountain; High ;986;$ 350,00;$ 507,50;$ 500.395,00;$ 125.098,75;$ 375.296,25;$ 362.355,00;$ 12.941,25;9/12/2017;12; December ;2017
Individual;France;Mountain; Medium ;982;$ 350,00;$ 507,50;$ 498.365,00;$ 99.673,00;$ 398.692,00;$ 360.885,00;$ 37.807,00;7/6/2017;6; June ;2017
Small Business;France;Mountain; Medium ;977;$ 350,00;$ 507,50;$ 495.827,50;$ 99.165,50;$ 396.662,00;$ 359.047,50;$ 37.614,50;7/6/2017;6; June ;2017
Individual;Germany;Mountain; High ;940;$ 350,00;$ 507,50;$ 477.050,00;$ 119.262,50;$ 357.787,50;$ 345.450,00;$ 12.337,50;9/10/2017;10; October ;2017
Individual;Finland;Mountain; Medium ;922;$ 350,00;$ 507,50;$ 467.915,00;$ 93.583,00;$ 374.332,00;$ 338.835,00;$ 35.497,00;5/10/2017;10; October ;2017
Public Sector;Norway;Mountain; Medium ;898;$ 350,00;$ 507,50;$ 455.735,00;$ 91.147,00;$ 364.588,00;$ 330.015,00;$ 34.573,00;5/11/2017;11; November ;2017
Small Business;Finland;Mountain; High ;808;$ 350,00;$ 507,50;$ 410.060,00;$ 102.515,00;$ 307.545,00;$ 296.940,00;$ 10.605,00;9/10/2017;10; October ;2017
Retail Partner;Norway;Mountain; High ;804;$ 350,00;$ 507,50;$ 408.030,00;$ 102.007,50;$ 306.022,50;$ 295.470,00;$ 10.552,50;5/9/2017;9; September ;2017
Small Business;Germany;Mountain; Low ;789;$ 350,00;$ 507,50;$ 400.417,50;$ 40.041,75;$ 360.375,75;$ 289.957,50;$ 70.418,25;5/9/2017;9; September ;2017
Public Sector;Finland;Mountain; High ;789;$ 350,00;$ 507,50;$ 400.417,50;$ 100.104,38;$ 300.313,13;$ 289.957,50;$ 10.355,63;9/10/2017;10; October ;2017
Small Business;France;Mountain; Medium ;767;$ 350,00;$ 507,50;$ 389.252,50;$ 77.850,50;$ 311.402,00;$ 281.872,50;$ 29.529,50;5/2/2017;2; February ;2017
Public Sector;Sweden;Mountain; Low ;755;$ 350,00;$ 507,50;$ 383.162,50;$ 38.316,25;$ 344.846,25;$ 277.462,50;$ 67.383,75;5/4/2017;4; April ;2017
Individual;Germany;Mountain; None ;710;$ 350,00;$ 507,50;$ 360.325,00;    ;$ 360.325,00;$ 260.925,00;$ 99.400,00;5/6/2017;6; June ;2017
Retail Partner;Germany;Mountain; Medium ;704;$ 350,00;$ 507,50;$ 357.280,00;$ 71.456,00;$ 285.824,00;$ 258.720,00;$ 27.104,00;5/5/2017;5; May ;2017
Corporate;Norway;Mountain; Medium ;702;$ 350,00;$ 507,50;$ 356.265,00;$ 71.253,00;$ 285.012,00;$ 257.985,00;$ 27.027,00;5/11/2017;11; November ;2017
Retail Partner;France;Mountain; Low ;693;$ 350,00;$ 507,50;$ 351.697,50;$ 35.169,75;$ 316.527,75;$ 254.677,50;$ 61.850,25;5/5/2017;5; May ;2017
Public Sector;Sweden;Mountain; High ;692;$ 350,00;$ 507,50;$ 351.190,00;$ 87.797,50;$ 263.392,50;$ 254.310,00;$ 9.082,50;9/7/2017;7; July ;2017
Small Business;Finland;Mountain; Medium ;646;$ 350,00;$ 507,50;$ 327.845,00;$ 65.569,00;$ 262.276,00;$ 237.405,00;$ 24.871,00;5/12/2017;12; December ;2017
Corporate;France;Mountain; Low ;630;$ 350,00;$ 507,50;$ 319.725,00;$ 31.972,50;$ 287.752,50;$ 231.525,00;$ 56.227,50;5/6/2017;6; June ;2017
Corporate;Finland;Mountain; Low ;582;$ 350,00;$ 507,50;$ 295.365,00;$ 29.536,50;$ 265.828,50;$ 213.885,00;$ 51.943,50;5/6/2017;6; June ;2017
Corporate;Norway;Mountain; Low ;530;$ 350,00;$ 507,50;$ 268.975,00;$ 26.897,50;$ 242.077,50;$ 194.775,00;$ 47.302,50;5/6/2017;6; June ;2017
Individual;Norway;Mountain; High ;513;$ 350,00;$ 507,50;$ 260.347,50;$ 65.086,88;$ 195.260,63;$ 188.527,50;$ 6.733,13;5/7/2017;7; July ;2017
Public Sector;Sweden;Mountain; High ;498;$ 350,00;$ 507,50;$ 252.735,00;$ 63.183,75;$ 189.551,25;$ 183.015,00;$ 6.536,25;9/9/2017;9; September ;2017
Public Sector;France;Mountain; Medium ;460;$ 350,00;$ 507,50;$ 233.450,00;$ 46.690,00;$ 186.760,00;$ 169.050,00;$ 17.710,00;5/4/2017;4; April ;2017
Public Sector;Finland;Mountain; Medium ;456;$ 350,00;$ 507,50;$ 231.420,00;$ 46.284,00;$ 185.136,00;$ 167.580,00;$ 17.556,00;5/12/2017;12; December ;2017
Corporate;Norway;Mountain; High ;443;$ 350,00;$ 507,50;$ 224.822,50;$ 56.205,63;$ 168.616,88;$ 162.802,50;$ 5.814,38;9/1/2017;1; January ;2017
Corporate;Germany;Mountain; High ;442;$ 350,00;$ 507,50;$ 224.315,00;$ 56.078,75;$ 168.236,25;$ 162.435,00;$ 5.801,25;9/11/2017;11; November ;2017
Public Sector;Norway;Mountain; Medium ;417;$ 350,00;$ 507,50;$ 211.627,50;$ 42.325,50;$ 169.302,00;$ 153.247,50;$ 16.054,50;5/12/2017;12; December ;2017
Small Business;Norway;Mountain; Low ;395;$ 350,00;$ 507,50;$ 200.462,50;$ 20.046,25;$ 180.416,25;$ 145.162,50;$ 35.253,75;5/10/2017;10; October ;2017
Individual;Germany;Mountain; High ;394;$ 350,00;$ 507,50;$ 199.955,00;$ 49.988,75;$ 149.966,25;$ 144.795,00;$ 5.171,25;9/7/2017;7; July ;2017
Public Sector;Finland;Mountain; Medium ;349;$ 350,00;$ 507,50;$ 177.117,50;$ 35.423,50;$ 141.694,00;$ 128.257,50;$ 13.436,50;5/7/2017;7; July ;2017
Small Business;Norway;Mountain; High ;346;$ 350,00;$ 507,50;$ 175.595,00;$ 43.898,75;$ 131.696,25;$ 127.155,00;$ 4.541,25;5/9/2017;9; September ;2017
Public Sector;Germany;Mountain; Medium ;338;$ 350,00;$ 507,50;$ 171.535,00;$ 34.307,00;$ 137.228,00;$ 124.215,00;$ 13.013,00;5/8/2017;8; August ;2017
Public Sector;France;Mountain; Medium ;305;$ 350,00;$ 507,50;$ 154.787,50;$ 30.957,50;$ 123.830,00;$ 112.087,50;$ 11.742,50;5/8/2017;8; August ;2017
Public Sector;Germany;Mountain; Medium ;288;$ 350,00;$ 507,50;$ 146.160,00;$ 29.232,00;$ 116.928,00;$ 105.840,00;$ 11.088,00;5/10/2017;10; October ;2017
Public Sector;Finland;Mountain; Low ;279;$ 350,00;$ 507,50;$ 141.592,50;$ 14.159,25;$ 127.433,25;$ 102.532,50;$ 24.900,75;5/9/2017;9; September ;2017
Corporate;Norway;Mountain; High ;273;$ 350,00;$ 507,50;$ 138.547,50;$ 34.636,88;$ 103.910,63;$ 100.327,50;$ 3.583,13;5/5/2017;5; May ;2017
Public Sector;France;Mountain; High ;234;$ 350,00;$ 507,50;$ 118.755,00;$ 29.688,75;$ 89.066,25;$ 85.995,00;$ 3.071,25;5/12/2017;12; December ;2017
Public Sector;Germany;Mountain; High ;224;$ 350,00;$ 507,50;$ 113.680,00;$ 28.420,00;$ 85.260,00;$ 82.320,00;$ 2.940,00;9/12/2017;12; December ;2017
Small Business;Sweden;Mountain; High ;215;$ 350,00;$ 507,50;$ 109.112,50;$ 27.278,13;$ 81.834,38;$ 79.012,50;$ 2.821,88;9/10/2017;10; October ;2017
Public Sector;Finland;Mountain; High ;214;$ 350,00;$ 507,50;$ 108.605,00;$ 27.151,25;$ 81.453,75;$ 78.645,00;$ 2.808,75;9/10/2017;10; October ;2017
Public Sector;Finland;Mountain; Low ;213;$ 350,00;$ 507,50;$ 108.097,50;$ 10.809,75;$ 97.287,75;$ 78.277,50;$ 19.010,25;5/12/2017;12; December ;2017
Public Sector;Germany;Mountain; Low ;210;$ 350,00;$ 507,50;$ 106.575,00;$ 10.657,50;$ 95.917,50;$ 77.175,00;$ 18.742,50;5/3/2017;3; March ;2017
Small Business;Germany;Mountain; Low ;171;$ 350,00;$ 507,50;$ 86.782,50;$ 8.678,25;$ 78.104,25;$ 62.842,50;$ 15.261,75;5/10/2017;10; October ;2017
Public Sector;Germany;City; Low ;3594;$ 410,00;$ 594,50;$ 2.136.633,00;$ 213.663,30;$ 1.922.969,70;$ 1.547.217,00;$ 375.752,70;7/4/2017;4; April ;2017
Public Sector;Germany;City; Low ;3401;$ 410,00;$ 594,50;$ 2.021.894,50;$ 202.189,45;$ 1.819.705,05;$ 1.464.130,50;$ 355.574,55;5/6/2017;6;June;2017
Retail Partner;Germany;City; High ;3221;$ 410,00;$ 594,50;$ 1.914.884,50;$ 478.721,13;$ 1.436.163,38;$ 1.386.640,50;$ 49.522,88;7/7/2017;7; July ;2017
Public Sector;France;City; Low ;3156;$ 410,00;$ 594,50;$ 1.876.242,00;$ 187.624,20;$ 1.688.617,80;$ 1.358.658,00;$ 329.959,80;7/1/2017;1; January ;2017
Individual;France;City; Medium ;3041;$ 410,00;$ 594,50;$ 1.807.874,50;$ 361.574,90;$ 1.446.299,60;$ 1.309.150,50;$ 137.149,10;7/4/2017;4; April ;2017
Individual;Germany;City; Medium ;2940;$ 410,00;$ 594,50;$ 1.747.830,00;$ 349.566,00;$ 1.398.264,00;$ 1.265.670,00;$ 132.594,00;7/4/2017;4; April ;2017
Corporate;Germany;City; Medium ;2810;$ 410,00;$ 594,50;$ 1.670.545,00;$ 334.109,00;$ 1.336.436,00;$ 1.209.705,00;$ 126.731,00;7/7/2017;7; July ;2017
Small Business;Germany;City; High ;2796;$ 410,00;$ 594,50;$ 1.662.222,00;$ 415.555,50;$ 1.246.666,50;$ 1.203.678,00;$ 42.988,50;5/6/2017;6;June;2017
Public Sector;Germany;City; Low ;2760;$ 410,00;$ 594,50;$ 1.640.820,00;$ 164.082,00;$ 1.476.738,00;$ 1.188.180,00;$ 288.558,00;5/7/2017;7; July ;2017
Corporate;Germany;City; Medium ;2394;$ 410,00;$ 594,50;$ 1.423.233,00;$ 284.646,60;$ 1.138.586,40;$ 1.030.617,00;$ 107.969,40;5/3/2017;3; March ;2017
Public Sector;France;City; Medium ;2394;$ 410,00;$ 594,50;$ 1.423.233,00;$ 284.646,60;$ 1.138.586,40;$ 1.030.617,00;$ 107.969,40;5/8/2017;8; August ;2017
Public Sector;Germany;City; High ;2394;$ 410,00;$ 594,50;$ 1.423.233,00;$ 355.808,25;$ 1.067.424,75;$ 1.030.617,00;$ 36.807,75;7/6/2017;6; June ;2017
Corporate;France;City; Low ;2390;$ 410,00;$ 594,50;$ 1.420.855,00;$ 142.085,50;$ 1.278.769,50;$ 1.028.895,00;$ 249.874,50;5/7/2017;7; July ;2017
Individual;Germany;City; Medium ;2345;$ 410,00;$ 594,50;$ 1.394.102,50;$ 278.820,50;$ 1.115.282,00;$ 1.009.522,50;$ 105.759,50;7/9/2017;9; September ;2017
Small Business;Germany;City; Low ;2334;$ 410,00;$ 594,50;$ 1.387.563,00;$ 138.756,30;$ 1.248.806,70;$ 1.004.787,00;$ 244.019,70;5/5/2017;5; May ;2017
Retail Partner;Germany;City; High ;2331;$ 410,00;$ 594,50;$ 1.385.779,50;$ 346.444,88;$ 1.039.334,63;$ 1.003.495,50;$ 35.839,13;5/3/2017;3; March ;2017
Small Business;Germany;City; Low ;2324;$ 410,00;$ 594,50;$ 1.381.618,00;$ 138.161,80;$ 1.243.456,20;$ 1.000.482,00;$ 242.974,20;7/11/2017;11; November ;2017
Public Sector;Germany;City; Low ;2282;$ 410,00;$ 594,50;$ 1.356.649,00;$ 135.664,90;$ 1.220.984,10;$ 982.401,00;$ 238.583,10;5/7/2017;7; July ;2017
Public Sector;France;City; High ;2281;$ 410,00;$ 594,50;$ 1.356.054,50;$ 339.013,63;$ 1.017.040,88;$ 981.970,50;$ 35.070,38;5/5/2017;5; May ;2017
Corporate;Germany;City; Medium ;2238;$ 410,00;$ 594,50;$ 1.330.491,00;$ 266.098,20;$ 1.064.392,80;$ 963.459,00;$ 100.933,80;5/7/2017;7; July ;2017
Retail Partner;France;City; Medium ;2210;$ 410,00;$ 594,50;$ 1.313.845,00;$ 262.769,00;$ 1.051.076,00;$ 951.405,00;$ 99.671,00;7/11/2017;11; November ;2017
Corporate;Germany;City; Low ;2183;$ 410,00;$ 594,50;$ 1.297.793,50;$ 129.779,35;$ 1.168.014,15;$ 939.781,50;$ 228.232,65;5/7/2017;7; July ;2017
Public Sector;Germany;City; High ;2166;$ 410,00;$ 594,50;$ 1.287.687,00;$ 321.921,75;$ 965.765,25;$ 932.463,00;$ 33.302,25;5/2/2017;2; February ;2017
Public Sector;France;City; High ;2157;$ 410,00;$ 594,50;$ 1.282.336,50;$ 320.584,13;$ 961.752,38;$ 928.588,50;$ 33.163,88;5/8/2017;8; August ;2017
Public Sector;France;City; Medium ;2151;$ 410,00;$ 594,50;$ 1.278.769,50;$ 255.753,90;$ 1.023.015,60;$ 926.005,50;$ 97.010,10;5/10/2017;10; October ;2017
Public Sector;Germany;City; Medium ;2130;$ 410,00;$ 594,50;$ 1.266.285,00;$ 253.257,00;$ 1.013.028,00;$ 916.965,00;$ 96.063,00;7/6/2017;6; June ;2017
Public Sector;Germany;City; High ;2113;$ 410,00;$ 594,50;$ 1.256.178,50;$ 314.044,63;$ 942.133,88;$ 909.646,50;$ 32.487,38;5/2/2017;2; February ;2017
Public Sector;Germany;City; High ;2106;$ 410,00;$ 594,50;$ 1.252.017,00;$ 313.004,25;$ 939.012,75;$ 906.633,00;$ 32.379,75;5/5/2017;5; May ;2017
Individual;France;City; Medium ;2096;$ 410,00;$ 594,50;$ 1.246.072,00;$ 249.214,40;$ 996.857,60;$ 902.328,00;$ 94.529,60;5/9/2017;9; September ;2017
Small Business;France;City; Medium ;2052;$ 410,00;$ 594,50;$ 1.219.914,00;$ 243.982,80;$ 975.931,20;$ 883.386,00;$ 92.545,20;7/1/2017;1; January ;2017
Individual;Germany;City; High ;2047;$ 410,00;$ 594,50;$ 1.216.941,50;$ 304.235,38;$ 912.706,13;$ 881.233,50;$ 31.472,63;5/8/2017;8; August ;2017
Public Sector;France;City; High ;2028;$ 410,00;$ 594,50;$ 1.205.646,00;$ 301.411,50;$ 904.234,50;$ 873.054,00;$ 31.180,50;5/4/2017;4; April ;2017
Public Sector;France;City; High ;2026;$ 410,00;$ 594,50;$ 1.204.457,00;$ 301.114,25;$ 903.342,75;$ 872.193,00;$ 31.149,75;7/4/2017;4; April ;2017
Retail Partner;Sweden;City; None ;2014;$ 410,00;$ 594,50;$ 1.197.323,00;    ;$ 1.197.323,00;$ 867.027,00;$ 330.296,00;5/8/2017;8; August ;2017
Individual;Norway;City; None ;1978;$ 410,00;$ 594,50;$ 1.175.921,00;    ;$ 1.175.921,00;$ 851.529,00;$ 324.392,00;7/9/2017;9; September ;2017
Individual;Germany;City; High ;1976;$ 410,00;$ 594,50;$ 1.174.732,00;$ 293.683,00;$ 881.049,00;$ 850.668,00;$ 30.381,00;5/9/2017;9; September ;2017
Small Business;France;City; Medium ;1968;$ 410,00;$ 594,50;$ 1.169.976,00;$ 233.995,20;$ 935.980,80;$ 847.224,00;$ 88.756,80;2/7/2017;7; July ;2017
Corporate;France;City; High ;1953;$ 410,00;$ 594,50;$ 1.161.058,50;$ 290.264,63;$ 870.793,88;$ 840.766,50;$ 30.027,38;5/8/2017;8; August ;2017
Small Business;France;City; Low ;1948;$ 410,00;$ 594,50;$ 1.158.086,00;$ 115.808,60;$ 1.042.277,40;$ 838.614,00;$ 203.663,40;5/1/2017;1; January ;2017
Retail Partner;Germany;City; Medium ;1945;$ 410,00;$ 594,50;$ 1.156.302,50;$ 231.260,50;$ 925.042,00;$ 837.322,50;$ 87.719,50;5/12/2017;12; December ;2017
Public Sector;Germany;City; High ;1942;$ 410,00;$ 594,50;$ 1.154.519,00;$ 288.629,75;$ 865.889,25;$ 836.031,00;$ 29.858,25;5/3/2017;3; March ;2017
Retail Partner;France;City; High ;1940;$ 410,00;$ 594,50;$ 1.153.330,00;$ 288.332,50;$ 864.997,50;$ 835.170,00;$ 29.827,50;2/7/2017;7; July ;2017
Public Sector;France;City; Medium ;1934;$ 410,00;$ 594,50;$ 1.149.763,00;$ 229.952,60;$ 919.810,40;$ 832.587,00;$ 87.223,40;7/1/2017;1; January ;2017
Public Sector;Germany;City; Medium ;1927;$ 410,00;$ 594,50;$ 1.145.601,50;$ 229.120,30;$ 916.481,20;$ 829.573,50;$ 86.907,70;7/9/2017;9; September ;2017
Public Sector;Germany;City; High ;1915;$ 410,00;$ 594,50;$ 1.138.467,50;$ 284.616,88;$ 853.850,63;$ 824.407,50;$ 29.443,13;7/8/2017;8; August ;2017
Corporate;France;City; Medium ;1908;$ 410,00;$ 594,50;$ 1.134.306,00;$ 226.861,20;$ 907.444,80;$ 821.394,00;$ 86.050,80;5/3/2017;3; March ;2017
Individual;Germany;City; Low ;1890;$ 410,00;$ 594,50;$ 1.123.605,00;$ 112.360,50;$ 1.011.244,50;$ 813.645,00;$ 197.599,50;7/2/2017;2; February ;2017
Public Sector;Germany;City; Medium ;1879;$ 410,00;$ 594,50;$ 1.117.065,50;$ 223.413,10;$ 893.652,40;$ 808.909,50;$ 84.742,90;5/9/2017;9; September ;2017
Public Sector;Germany;City; Medium ;1862;$ 410,00;$ 594,50;$ 1.106.959,00;$ 221.391,80;$ 885.567,20;$ 801.591,00;$ 83.976,20;5/5/2017;5; May ;2017
Retail Partner;Germany;City; Medium ;1839;$ 410,00;$ 594,50;$ 1.093.285,50;$ 218.657,10;$ 874.628,40;$ 791.689,50;$ 82.938,90;7/6/2017;6; June ;2017
